Species,Long,Lat
Kinkajou,-80.75,-1.25
Kinkajou,-80.75,-1.75
Kinkajou,-80.75,-2.25
Kinkajou,-80.25,-0.25
Kinkajou,-80.25,-0.75
Kinkajou,-80.25,-1.25
Kinkajou,-80.25,-1.75
Kinkajou,-80.25,-2.25
Kinkajou,-79.75,0.75
Kinkajou,-79.75,0.25
Kinkajou,-79.75,-0.25
Kinkajou,-79.75,-0.75
Kinkajou,-79.75,-1.25
Kinkajou,-79.75,-1.75
Kinkajou,-79.75,-2.25
Kinkajou,-79.75,-2.75
Kinkajou,-79.25,0.75
Kinkajou,-79.25,0.25
Kinkajou,-79.25,-0.25
Kinkajou,-79.25,-0.75
Kinkajou,-79.25,-1.25
Kinkajou,-79.25,-1.75
Kinkajou,-79.25,-2.25
Kinkajou,-79.25,-2.75
Kinkajou,-79.25,-3.25
Kinkajou,-78.75,1.75
Kinkajou,-78.75,1.25
Kinkajou,-78.75,0.75
Kinkajou,-78.75,0.25
Kinkajou,-78.75,-0.25
Kinkajou,-78.75,-0.75
Kinkajou,-78.75,-1.25
Kinkajou,-78.75,-1.75
Kinkajou,-78.75,-2.25
Kinkajou,-78.75,-2.75
Kinkajou,-78.75,-3.25
Kinkajou,-78.75,-3.75
Kinkajou,-78.25,2.25
Kinkajou,-78.25,1.75
Kinkajou,-78.25,1.25
Kinkajou,-78.25,0.75
Kinkajou,-78.25,0.25
Kinkajou,-78.25,-0.25
Kinkajou,-78.25,-0.75
Kinkajou,-78.25,-1.25
Kinkajou,-78.25,-1.75
Kinkajou,-78.25,-2.25
Kinkajou,-78.25,-2.75
Kinkajou,-78.25,-3.25
Kinkajou,-78.25,-3.75
Kinkajou,-78.25,-4.25
Kinkajou,-77.75,7.25
Kinkajou,-77.75,2.75
Kinkajou,-77.75,2.25
Kinkajou,-77.75,1.75
Kinkajou,-77.75,1.25
Kinkajou,-77.75,0.75
Kinkajou,-77.75,0.25
Kinkajou,-77.75,-0.25
Kinkajou,-77.75,-0.75
Kinkajou,-77.75,-1.25
Kinkajou,-77.75,-1.75
Kinkajou,-77.75,-2.25
Kinkajou,-77.75,-2.75
Kinkajou,-77.75,-3.25
Kinkajou,-77.75,-3.75
Kinkajou,-77.75,-4.25
Kinkajou,-77.75,-4.75
Kinkajou,-77.25,8.25
Kinkajou,-77.25,7.75
Kinkajou,-77.25,7.25
Kinkajou,-77.25,6.75
Kinkajou,-77.25,6.25
Kinkajou,-77.25,5.75
Kinkajou,-77.25,5.25
Kinkajou,-77.25,4.75
Kinkajou,-77.25,4.25
Kinkajou,-77.25,3.25
Kinkajou,-77.25,2.75
Kinkajou,-77.25,2.25
Kinkajou,-77.25,1.75
Kinkajou,-77.25,1.25
Kinkajou,-77.25,0.75
Kinkajou,-77.25,0.25
