"GHO","PUBLISHSTATE","YEAR","REGION","COUNTRY","SEX","Display Value","Numeric","Low","High","Comments"
"WHOSIS_000001","PUBLISHED","2016","EMR","AFG","BTSX","62.7","62.68935","","","WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
"WHOSIS_000001","PUBLISHED","2016","AFR","AGO","BTSX","62.6","62.63262","","","WHO life table method: Other HIV countries"
"WHOSIS_000001","PUBLISHED","2016","EUR","ALB","BTSX","76.4","76.37373","","","WHO life table method: Vital registration"
"WHOSIS_000001","PUBLISHED","2016","EMR","ARE","BTSX","77.2","77.15633","","","WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
"WHOSIS_000001","PUBLISHED","2016","AMR","ARG","BTSX","76.9","76.94621","","","WHO life table method: Vital registration"
"WHOSIS_000001","PUBLISHED","2016","EUR","ARM","BTSX","74.8","74.83788","","","WHO life table method: Vital registration"
"WHOSIS_000001","PUBLISHED","2016","AMR","ATG","BTSX","75.0","74.99754","","","WHO life table method: Vital registration"
"WHOSIS_000001","PUBLISHED","2016","WPR","AUS","BTSX","82.9","82.90018","","","WHO life table method: Vital registration"
"WHOSIS_000001","PUBLISHED","2016","EUR","AUT","BTSX","81.9","81.87031","","","WHO life table method: Vital registration"
"WHOSIS_000001","PUBLISHED","2016","EUR","AZE","BTSX","73.1","73.07719","","","WHO life table method: Vital registration"
"WHOSIS_000001","PUBLISHED","2016","AFR","BDI","BTSX","60.1","60.09811","","","WHO life table method: Other HIV countries"
"WHOSIS_000001","PUBLISHED","2016","EUR","BEL","BTSX","81.2","81.16279","","","WHO life table method: Vital registration"
"WHOSIS_000001","PUBLISHED","2016","AFR","BEN","BTSX","61.1","61.08568","","","WHO life table method: Other HIV countries"
"WHOSIS_000001","PUBLISHED","2016","AFR","BFA","BTSX","60.3","60.32101","","","WHO life table method: Other HIV countries"
"WHOSIS_000001","PUBLISHED","2016","SEAR","BGD","BTSX","72.7","72.65925","","","WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
"WHOSIS_000001","PUBLISHED","2016","EUR","BGR","BTSX","74.8","74.84309","","","WHO life table method: Vital registration"
"WHOSIS_000001","PUBLISHED","2016","EMR","BHR","BTSX","79.1","79.06380","","","WHO life table method: Vital registration"
"WHOSIS_000001","PUBLISHED","2016","AMR","BHS","BTSX","75.7","75.69963","","","WHO life table method: Other HIV countries"
"WHOSIS_000001","PUBLISHED","2016","EUR","BIH","BTSX","77.3","77.28514","","","WHO life table method: Vital registration"
"WHOSIS_000001","PUBLISHED","2016","EUR","BLR","BTSX","74.2","74.15955","","","WHO life table method: Vital registration"
"WHOSIS_000001","PUBLISHED","2016","AMR","BLZ","BTSX","70.5","70.45189","","","WHO life table method: Other HIV countries"
"WHOSIS_000001","PUBLISHED","2016","AMR","BOL","BTSX","71.5","71.49831","","","WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
"WHOSIS_000001","PUBLISHED","2016","AMR","BRA","BTSX","75.1","75.13705","","","WHO life table method: Vital registration"
"WHOSIS_000001","PUBLISHED","2016","AMR","BRB","BTSX","75.6","75.58631","","","WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
"WHOSIS_000001","PUBLISHED","2016","WPR","BRN","BTSX","76.4","76.42742","","","WHO life table method: Vital registration"
"WHOSIS_000001","PUBLISHED","2016","SEAR","BTN","BTSX","70.6","70.56942","","","WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
"WHOSIS_000001","PUBLISHED","2016","AFR","BWA","BTSX","66.1","66.05297","","","WHO life table method: High HIV countries"
"WHOSIS_000001","PUBLISHED","2016","AFR","CAF","BTSX","53.0","53.04280","","","WHO life table method: High HIV countries"
"WHOSIS_000001","PUBLISHED","2016","AMR","CAN","BTSX","82.8","82.80972","","","WHO life table method: Vital registration"
"WHOSIS_000001","PUBLISHED","2016","EUR","CHE","BTSX","83.3","83.26371","","","WHO life table method: Vital registration"
"WHOSIS_000001","PUBLISHED","2016","AMR","CHL","BTSX","79.5","79.51848","","","WHO life table method: Vital registration"
"WHOSIS_000001","PUBLISHED","2016","WPR","CHN","BTSX","76.4","76.38921","","","WHO life table method: World Population Prospects, 2017 revision (United Nations, Population Division)"
"WHOSIS_000001","PUBLISHED","2016","AFR","CIV","BTSX","54.6","54.59137","","","WHO life table method: Other HIV countries"
"WHOSIS_000001","PUBLISHED","2016","AFR","CMR","BTSX","58.1","58.06432","","","WHO life table method: High HIV countries"
"WHOSIS_000001","PUBLISHED","2016","AFR","COD","BTSX","60.5","60.45245","","","WHO life table method: Other HIV countries"
"WHOSIS_000001","PUBLISHED","2016","AFR","COG","BTSX","64.3","64.30374","","","WHO life table method: High HIV countries"
"WHOSIS_000001","PUBLISHED","2016","AMR","COL","BTSX","75.1","75.10618","","","WHO life table method: Vital registration"
