"n_aliens","long","lat"
1000,48.07018593885,8.86356948481811
1,46.6551367007196,9.4294972882896
10,48.3570377156138,10.1766408986842
10,8.53289452381432,63.3481675056293
1000,23.6578719131649,70.5094942757264
10,10.7985884137452,79.6170285948511
1000,15.5538605153561,67.2489104266997
1000,12.8333243262023,65.0935500096259
1,68.3673511259258,35.5357248310011
100,70.7555386517197,35.1793246195541
100,67.8101818822324,33.9158972107713
1000,62.2409960534424,31.670970226023
1,70.8194965962321,37.4047347635278
1000,68.2954048085958,35.3374345235695
1000,65.7763186097145,31.7478898680243
1,66.1788513790816,33.3863581172254
1000,67.0240866858512,35.1880890111643
1000,66.2105275131762,35.0950466755276
10,67.4827487021685,36.2490567219808
1,69.754612762481,35.0372001948983
10,74.170247297734,37.3344127709706
100,69.7028074041009,33.1576279263913
100,15.5305289011449,-10.3480723343201
10,13.6674627475441,-11.829559187199
100,17.5257524382323,-15.6097572654876
100,13.2405845727772,-15.3114883432594
1,19.4421743508428,-10.7988924087273
1,16.5097645204514,-12.4243521308209
1,20.6331097707152,-15.0297190477779
100,16.8179966043681,-10.9669728664444
1000,21.4868553075939,-13.9920502292215
10,21.0406563431025,-8.24814170955036
100,14.9020664580166,-14.5242262830397
100,14.005187144503,-11.8311521747548
10,21.6074217762798,-13.7881396303126
100,17.164711765945,-16.7924544032082
10,16.5338401962072,-13.0191033795814
100,15.8199562691152,-17.1797020778739
1,16.9024825002998,-11.8916666326225
100,14.7006867919117,-12.5397404215739
1,17.9422555770725,-16.8682637798765
1000,15.769767947495,-15.8862435280376
1,22.2025646455586,-11.5523522140202
10,15.8458286058158,-9.07948188067976
1000,13.1576164718717,-14.266478552033
10,56.2284140847623,25.0904477430055
10,54.3683774024248,24.3630664512889
1000,52.8358492534608,23.6973061265105
100,-61.3988187164068,-37.713355245942
1,-61.6952318139374,-24.9757641696936
1,-70.6424092780799,-49.410728911943
1000,-67.407444845885,-29.1772049771377
1,-58.9323006290942,-36.3000064928651
100,-69.0150020923465,-40.1608345123296
100,-61.9410450384021,-26.5389561053177
1000,-59.3510341085494,-37.8210820341934
1000,-68.3952865004539,-36.438564082439
1,-69.6001933794469,-46.2469011488151
1000,-57.8969849646091,-29.812747363396
1,-70.697328010574,-41.1103880365885
1,-68.7451509945095,-44.3487710825796
10,-62.1405568812042,-38.5584047410058
1000,-61.822972856462,-29.6851242556775
10,-61.1231587920338,-33.0076503222847
1,-58.4114197455347,-37.2425948026245
1,-68.6740551888943,-40.2402440993744
1,-66.5244747977704,-24.2678677629289
1000,-62.8945173695683,-29.2223849032833
100,-68.3018385060132,-28.8021404530796
1,-65.5117333587259,-35.6016676642712
1000,-62.8805271349847,-40.0789868416293
1000,-61.6503192298114,-36.5300352804996
1,-63.7173853162676,-38.1391887793939
100,-60.3849343210459,-37.4229766132849
1000,-70.0213183835149,-35.3742346619984
1000,-63.7490012682974,-36.310143935275
1000,-68.5919534415007,-35.3570135015752
1,-61.6589395143092,-24.6751492009289
1,-69.7296154964715,-47.540663675798
10,-61.5952733438462,-27.3666266630844
100,-71.525864135474,-39.8117887969304
1,-60.4150152951479,-28.5261564078089
1,-65.3393150120974,-27.1682342557542
100,-67.98031414859,-33.1135182125555
1000,-65.0546317175031,-39.1432520704664
1,-62.4341307766736,-32.0726833511393
1,-67.5134921818972,-31.5262870644334
10,-54.199198493734,-27.2799010202024
1,-70.0311784353107,-45.3964566544552
10,-66.0047806240618,-26.4317766432659
10,-64.5607682224363,-37.2101059058587
1,-70.2258072327822,-37.8444349778198
1000,-64.7690550796688,-39.6508498877482
10,-58.7458724342287,-25.1453777337457
10,-57.4952681735158,-35.7272666811865
100,-62.0691354386508,-36.8748492665851
10,-68.4168012533337,-31.9521812712775
1000,-63.4264610242099,-34.4354969779997
1000,44.4649249501526,40.090566246026
10,44.9175662454218,40.4935776867124
10,-137.079681186005,-81.3857879869808
1,141.830873647705,-70.0297308077438
1000,-6.56215310096741,-72.9696754254399
10,23.4120870195329,-76.6286700519193
100,66.8212946690619,-70.800160745014
1,14.2507831938565,-76.3409664361089
1,-24.8191788140684,-78.2673374703189
10,79.2158904019743,-79.56326059017
10,31.7113535944372,-72.4147192002046
100,131.160039855167,-79.4976959893268
1,139.340202435851,-76.6893884701276
10,37.388269091025,-73.2996281196161
1000,-10.0580832269043,-73.4212123978798
1,-52.0317902974784,-85.109882763868
1000,-100.679613081738,-75.4432421795173
100,70.4525449220091,-77.524706685054
1000,-64.0400851517916,-83.0276386939106
10,115.117034772411,-69.5765751573895
1000,167.831022720784,-73.5687499091606
10,-140.725435735658,-80.9452497366412
10,15.3543306514621,-74.5621314927548
1000,132.945035453886,-79.8954154465633
1,159.491676231846,-75.2226406236123
100,99.5203765109181,-77.6490201070446
1,126.694282796234,-68.1100612431032
1,149.578631613404,-77.4444977012093
100,105.243388451636,-86.7088611876722
1000,118.740233369172,-75.7168878640714
100,5.0478638894856,-79.3343940942639
1,-105.357729680836,-75.3599337921928
100,47.5256551802158,-72.4265659503801
100,102.35777663067,-72.5608422051289
1000,5.50668030045927,-71.5523525392421
1,106.989602996036,-78.7889413536855
100,-134.683842156082,-81.7552728781851
100,32.9183075018227,-70.5043927406497
10,48.4901038650423,-68.246814986453
1000,107.919429726899,-68.9636400271335
10,138.546112664044,-67.8564409312512
1000,79.3817463889718,-76.8873268278646
10,-69.6654810290784,-85.8166398183693
100,32.737677320838,-70.0605738416271
10,55.3262087423354,-68.2008839364927
1000,127.235202463344,-71.7927136145102
10,5.68543000146747,-78.3002808286097
10,135.903869569302,-82.0279557133315
10,60.7434843946248,-78.6364390800703
10,-39.1315948124975,-88.0219342894039
100,60.971438633278,-87.6285418698067
1000,-0.634820619598031,-77.3558424713945
10,-83.9286377560347,-77.0659526077803
1000,46.7387124896049,-71.2788954651474
10,75.3296336531639,-75.5365748239738
1,-176.303322287276,-88.0831980291151
1000,-95.9352284856141,-75.1948165232341
1,23.3256509900093,-80.921929552715
1000,121.742070084438,-71.3679297355379
1000,-80.1201706845313,-73.2650392457271
1,122.277718875557,-74.6414312835251
10,144.710208931938,-72.0536016357669
100,-90.2176988963038,-77.2742421136538
1,-15.0830330047756,-83.1647807995595
10,-0.178819438442588,-72.5601721197042
1,85.3255395032465,-69.1184031953002
1000,86.8076672684401,-79.178658052184
1,73.4270692057908,-70.4479307393977
1000,-91.112819602713,-79.5932899966711
1000,-61.5750563610345,-73.6761887880746
10,-98.2764305826277,-75.6325146122774
1000,150.285430150107,-81.8880579342956
1,104.547367952764,-70.2047582975422
1,22.688202727586,-72.626288140123
100,99.0917486138642,-84.1822754024296
1000,-29.4637016672641,-82.6781252447463
1000,-105.855737775564,-75.1189861116603
100,-153.674377184361,-88.1142828335398
100,91.5745235793293,-80.9499274374037
1000,93.4245446417481,-83.0023644672716
1,132.479973770678,-82.5934778600146
100,48.3947597164661,-68.2053440943959
1000,94.3899985682219,-74.4421594492274
100,52.6155663002282,-66.7625869290025
10,-114.42687372677,-87.1349896884712
1,-43.0660157371312,-84.3214902532714
100,-66.1308355629444,-75.3022925353552
1000,-132.330781677738,-81.1599793242078
100,139.490086035803,-71.9354553698819
100,-87.7823204174638,-80.7995329922722
100,135.444079600275,-78.1536618594974
1,54.6217234432697,-72.7456321964023
1000,103.37194676511,-69.0241887197749
1000,33.2325004599988,-69.7940913772846
100,101.781074283645,-72.7364005165313
10,163.902384554967,-75.3438595986914
100,116.146963303909,-68.9091560773055
1000,158.567035300657,-76.6658498658618
10,129.858489632607,-83.0882164333264
10,25.9050800185651,-70.504645368563
10,47.1402122732252,-79.6202428449646
100,-74.6220324654132,-75.5737268565784
10,16.2617255654186,-83.5470104344282
1000,155.724820699543,-78.8929864070643
100,79.3981864023954,-69.3006197161501
1,83.4243092034012,-74.580697177328
100,49.4769449718297,-76.5572557479578
10,-88.2013970520347,-77.5329267079883
1,3.77441274002194,-83.6355582101727
1000,31.210908126086,-75.3216699520907
1,122.289873221889,-87.2059090154087
1000,29.2639545444399,-74.2067351025342
1000,123.449958460405,-68.6892311416661
1,116.110210334882,-67.4659743972507
100,0.330527359619737,-78.7937390442502
1,-89.7379964590073,-80.3319508338642
1,83.0071805231273,-68.43944442366
100,94.7712003998458,-70.0278894508578
1,4.91901501081884,-76.7515044236128
1,67.5608680397272,-80.0663429734904
100,65.8384091500193,-68.1085981145891
1,36.3663962390274,-69.850699640927
100,112.105558365583,-69.7673972545367
1,1.25222959555686,-75.1509751370651
1000,17.7301314845681,-77.0953898811026
100,105.944469440728,-75.2861542989115
1000,-13.0217503476888,-75.6391995689724
1000,18.1733500119299,-82.861837235009
100,84.6736069768667,-71.1642722169505
1000,146.6398845613,-82.3535472813019
10,116.268769707531,-78.1132272542257
100,106.377453245223,-74.6476926741061
1000,-86.1179070454091,-79.886511837026
1,93.9120362140238,-72.2354078145523
1,153.935047918931,-73.1274465649629
100,79.5434923935682,-74.8792611575976
1000,-6.14888529293239,-71.1657623339367
1000,152.653945852071,-78.2654301304394
1,-154.981860537082,-86.9298282338844
10,49.9020763579756,-74.16860723878
10,86.4041212946177,-68.9111355050975
10,125.068343030289,-68.1473541813915
10,-48.3068726118654,-78.1242745120372
100,133.155921455473,-77.5064317535612
100,35.6868806295097,-86.8070933292903
1,-119.306747764349,-74.9419471807035
1000,107.127108285204,-70.4909702513318
100,112.584508107975,-72.1015283833514
1,54.8532609455287,-85.3716309499417
100,102.941354904324,-66.349554329717
10,116.888089589775,-70.1882077167741
1,80.4294527694583,-80.5968231381082
1000,32.4375758506358,-77.9453865148547
1000,83.3015329297632,-71.9497937359787
10,85.4707957059145,-74.1136035260371
100,139.248261675239,-68.6202095660254
100,75.5015071760863,-69.8984284460573
1,-0.789138833060861,-75.7743698071772
10,-26.1681595444679,-83.9359356934788
1,-61.3248982094228,-84.0701005608391
1000,96.8546342477202,-74.1490047888485
1000,121.199575960636,-75.5421619977132
1,90.3277202602476,-71.6008959936766
10,93.3967010490596,-76.7622946593876
1,48.2980018761009,-78.1760167987606
100,-139.913658555597,-78.9582382986406
1,-95.92390361242,-87.6913452367252
1,150.270174751058,-71.8362902526556
100,162.996578011662,-83.8130556136607
10,120.402938257903,-71.1051889887532
10,145.015846062452,-76.0159814587171
1,-86.6491660661995,-75.8594591886277
100,-17.2358874510974,-84.4070041466541
100,-131.123735820875,-83.4539438989827
10,-14.0510396752506,-75.2038103205319
10,14.8473131004721,-83.0317411762772
10,6.48508342914283,-71.3664652016216
