gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
2868401965	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/60606393	Animalia	Chordata	Mammalia	Perissodactyla	Tapiridae	Tapirus	Tapirus pinchaque		SPECIES	Tapirus pinchaque (Roulin, 1829)	Tapirus pinchaque		EC		Napo	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-0.573515	-78.145742	31451.0						2020-09-21T16:25:00	21	9	2020	2440899	2440899	HUMAN_OBSERVATION	iNaturalist	Observations	60606393		Luis Yupa	2020-09-24T13:40:40	CC_BY_NC_4_0	Luis Yupa	Luis Yupa			2020-11-01T15:58:25.043Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2868344037	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/60635524	Animalia	Chordata	Mammalia	Perissodactyla	Tapiridae	Tapirus	Tapirus pinchaque		SPECIES	Tapirus pinchaque (Roulin, 1829)	Tapirus pinchaque					PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d			31451.0						2020-09-22T16:31:00	22	9	2020	2440899	2440899	HUMAN_OBSERVATION	iNaturalist	Observations	60635524		Luis Yupa	2020-09-24T18:50:58	CC_BY_NC_4_0	Luis Yupa	Luis Yupa			2020-11-01T15:58:21.591Z	StillImage	
2862366111	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/58911027	Animalia	Chordata	Mammalia	Perissodactyla	Tapiridae	Tapirus	Tapirus pinchaque		SPECIES	Tapirus pinchaque (Roulin, 1829)	Tapirus pinchaque		EC		Napo	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-0.316876	-78.083831	31451.0						2020-01-23T16:59:18	23	1	2020	2440899	2440899	HUMAN_OBSERVATION	iNaturalist	Observations	58911027		zacpfeifer	2020-09-08T01:44:23	CC_BY_NC_4_0	zacpfeifer	zacpfeifer			2020-11-01T15:58:02.786Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2851698119	882d105b-fa99-4c3b-a736-b43674ce91f3		Animalia	Chordata	Mammalia	Perissodactyla	Tapiridae	Tapirus	Tapirus pinchaque		SPECIES	Tapirus pinchaque (Roulin, 1829)	Tapirus pinchaque Roulin, 1829					PRESENT		7a070ba0-bafb-11d9-8e53-b8a03c50a862													2440899	2440899	UNKNOWN	Biodiversitätsdatenbank des Landes Salzburg	Biodiversitätsdatenbank des Landes Salzburg	1395563				CC_BY_4_0					2020-09-05T09:07:04.210Z		BASIS_OF_RECORD_INVALID
2851005576	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/46644202	Animalia	Chordata	Mammalia	Perissodactyla	Tapiridae	Tapirus	Tapirus pinchaque		SPECIES	Tapirus pinchaque (Roulin, 1829)	Tapirus pinchaque					PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d			68218.0						2013-12-29T21:24:00	29	12	2013	2440899	2440899	HUMAN_OBSERVATION	iNaturalist	Observations	46644202		Andres Laguna	2020-05-20T20:29:46	CC_BY_NC_4_0	Andres Laguna	Andres Laguna			2020-11-01T16:12:40.104Z		
2831367655	96e13e19-b9d6-46b4-bb28-5f18bcfb10d0	urn:catalog:CMNH:Mammals:17854	Animalia	Chordata	Mammalia	Perissodactyla	Tapiridae	Tapirus	Tapirus pinchaque		SPECIES	Tapirus pinchaque (Roulin, 1829)	Tapirus pinchaque		EC			PRESENT		9c252ec3-7333-4cf8-a997-5441fcbad8dd													2440899	2440899	PRESERVED_SPECIMEN	CMNH	Mammals	17854				CC0_1_0				NATIVE	2020-10-07T12:24:07.432Z		
2826214836	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/54217994	Animalia	Chordata	Mammalia	Perissodactyla	Tapiridae	Tapirus	Tapirus pinchaque		SPECIES	Tapirus pinchaque (Roulin, 1829)	Tapirus pinchaque		EC		Napo	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-0.467604	-78.285168	31451.0						2020-07-24T10:25:00	24	7	2020	2440899	2440899	HUMAN_OBSERVATION	iNaturalist	Observations	54217994		Luis Yupa	2020-07-25T00:21:16	CC_BY_NC_4_0	Luis Yupa	Luis Yupa			2020-11-01T15:57:07.545Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2826213266	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/54475159	Animalia	Chordata	Mammalia	Perissodactyla	Tapiridae	Tapirus	Tapirus pinchaque		SPECIES	Tapirus pinchaque (Roulin, 1829)	Tapirus pinchaque		CO		Risaralda	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	4.763309	-75.633149	31398.0						2020-02-10T07:22:55	10	2	2020	2440899	2440899	HUMAN_OBSERVATION	iNaturalist	Observations	54475159		westerntanager	2020-07-27T01:23:57	CC_BY_NC_4_0	westerntanager	westerntanager			2020-11-01T16:14:14.996Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2802920084	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/49679592	Animalia	Chordata	Mammalia	Perissodactyla	Tapiridae	Tapirus	Tapirus pinchaque		SPECIES	Tapirus pinchaque (Roulin, 1829)	Tapirus pinchaque		CO		Risaralda	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	4.66022	-75.570593	31398.0						2019-02-11T22:57:00	11	2	2019	2440899	2440899	HUMAN_OBSERVATION	iNaturalist	Observations	49679592		Aurélie Letort	2020-06-15T03:19:40	CC_BY_NC_4_0	Aurélie Letort	Aurélie Letort			2020-11-01T15:57:00.134Z		COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
2634586094	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/48281689	Animalia	Chordata	Mammalia	Perissodactyla	Tapiridae	Tapirus	Tapirus pinchaque		SPECIES	Tapirus pinchaque (Roulin, 1829)	Tapirus pinchaque		EC		Napo	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	-0.215449	-78.026544	31451.0						2019-01-16T07:59:00	16	1	2019	2440899	2440899	HUMAN_OBSERVATION	iNaturalist	Observations	48281689		Luis Yupa	2020-06-02T22:34:49	CC_BY_NC_4_0	Luis Yupa	Luis Yupa			2020-11-01T15:57:21.890Z	StillImage	COORDINATE_ROUNDED;GEODETIC_DATUM_ASSUMED_WGS84
