station,lat,long,krill_abun,chlorophyll
6,-59.9096,-53.03006,0,1.04593081
8,-58.51637,-51.25974,0,0.79637821
10,-59.91357,-49.41599,15.45169878,0.869613313
12,-60.97059,-48.13545,58.63536035,0.367081181
16,-57.97091,-42.93436,0,0.982901857
19,-55.20345,-41.32185,1.606727052,1.625220455
22,-52.90708,-40.13592,21.57285825,16.89691832
25,-50.28753,-39.02036,5.643033451,0.99538739
27,-50.95719,-37.61516,0,6.390454994
29,-52.68932,-36.623,1.658073646,0.452925443
32,-51.68808,-34.97653,3.952854718,2.78245173
34,-51.36901,-31.09135,1.482305178,4.110323534
36,-53.6265,-29.32742,25.03077781,0.830262432
38,-55.92838,-27.25843,0,10.89411286
40,-58.08564,-25.92572,0,3.893641521
43,-63.25913,-25.35395,59.61147877,0.21165063
44,-62.26828,-26.84829,55.9625241,0.941942569
46,-60.14215,-29.48655,41.91420544,0.547691572
